"","height","age_median","age_min","age_max","plus","minus"
"128",127,814.72,811.11,818.13,3.4,3.61
"129",128,814.71,811.1,818.11,3.4,3.61
"130",129,814.69,811.08,818.09,3.4,3.61
"131",130,814.67,811.06,818.08,3.4,3.61
"132",131,814.66,811.05,818.06,3.4,3.61
"133",132,814.64,811.03,818.04,3.4,3.61
"134",133,814.62,811.01,818.02,3.4,3.61
"135",134,814.61,811,818.01,3.4,3.61
"136",135,814.59,810.98,817.99,3.4,3.61
"137",136,814.57,810.97,817.98,3.41,3.6
"138",137,814.56,810.96,817.96,3.41,3.6
"139",138,814.54,810.94,817.95,3.41,3.6
"140",139,814.52,810.92,817.93,3.41,3.6
"141",140,814.5,810.91,817.91,3.41,3.6
"142",141,814.49,810.89,817.9,3.41,3.6
"143",142,814.47,810.87,817.88,3.41,3.6
"144",143,814.45,810.86,817.86,3.41,3.6
"145",144,814.44,810.84,817.84,3.41,3.6
"146",145,814.42,810.83,817.83,3.4,3.59
"147",146,814.4,810.81,817.81,3.4,3.59
"148",147,814.39,810.79,817.79,3.4,3.59
"149",148,814.37,810.78,817.77,3.4,3.59
"150",149,814.35,810.76,817.76,3.4,3.59
"151",150,814.34,810.74,817.74,3.4,3.59
"152",151,814.32,810.73,817.72,3.4,3.59
"153",152,814.3,810.71,817.7,3.4,3.59
"154",153,814.29,810.69,817.69,3.4,3.59
"155",154,814.27,810.67,817.67,3.4,3.59
"156",155,814.25,810.66,817.65,3.4,3.59
"157",156,814.23,810.64,817.63,3.4,3.59
"158",157,814.22,810.62,817.62,3.4,3.59
"159",158,814.2,810.61,817.6,3.4,3.59
"160",159,814.18,810.59,817.58,3.4,3.59
"161",160,814.17,810.57,817.56,3.4,3.59
"162",161,814.15,810.56,817.55,3.4,3.59
"163",162,814.13,810.54,817.53,3.4,3.59
"164",163,814.12,810.52,817.51,3.4,3.59
"165",164,814.1,810.51,817.5,3.4,3.59
"166",165,814.08,810.49,817.48,3.4,3.59
"167",166,814.07,810.48,817.46,3.4,3.59
"168",167,814.05,810.46,817.45,3.4,3.59
"169",168,814.03,810.44,817.43,3.4,3.59
"170",169,814.01,810.42,817.41,3.4,3.59
"171",170,814,810.41,817.39,3.4,3.59
"172",171,813.98,810.39,817.38,3.4,3.59
"173",172,813.96,810.37,817.36,3.4,3.59
"174",173,813.95,810.36,817.34,3.4,3.59
"175",174,813.93,810.34,817.33,3.4,3.59
"176",175,813.91,810.32,817.31,3.4,3.59
"177",176,813.89,810.31,817.29,3.4,3.59
"178",177,813.88,810.29,817.27,3.4,3.59
"179",178,813.86,810.27,817.26,3.4,3.59
"180",179,813.84,810.26,817.24,3.4,3.59
"181",180,813.83,810.24,817.22,3.4,3.59
"182",181,813.81,810.23,817.21,3.4,3.58
"183",182,813.79,810.21,817.19,3.4,3.58
"184",183,813.77,810.19,817.18,3.4,3.58
"185",184,813.76,810.18,817.16,3.4,3.58
"186",185,813.74,810.16,817.14,3.4,3.58
"187",186,813.72,810.14,817.12,3.4,3.58
"188",187,813.71,810.13,817.1,3.4,3.58
"189",188,813.69,810.11,817.09,3.4,3.58
"190",189,813.67,810.09,817.07,3.4,3.58
"191",190,813.66,810.08,817.05,3.4,3.58
"192",191,813.64,810.06,817.03,3.4,3.58
"193",192,813.62,810.04,817.02,3.4,3.58
"194",193,813.6,810.03,817,3.4,3.58
"195",194,813.59,810.01,816.98,3.4,3.58
"196",195,813.57,809.99,816.97,3.4,3.58
"197",196,813.55,809.98,816.95,3.4,3.58
"198",197,813.54,809.95,816.92,3.39,3.58
"199",198,813.52,809.93,816.91,3.39,3.58
"200",199,813.5,809.92,816.89,3.39,3.58
"201",200,813.48,809.9,816.87,3.39,3.58
"202",201,813.47,809.88,816.85,3.39,3.58
"203",202,813.45,809.87,816.83,3.39,3.58
"204",203,813.43,809.85,816.82,3.39,3.58
