height,d13C
1962.67,4.21
1963,5.52
1963.45,4.42
1963.5,4.31
1963.7,5.59
1964.6,5.86
1964.7,4.29
1964.96,4.12
1965.01,4.51
1965.3,5.69
1965.5,1.52
1965.9,1.14
1966.1,6.78
1966.2,5.24
1966.5,5.14
1967,2.64
1967.3,2.2
1967.5,4.7
1968,1.61
1968.1,4.9
1968.3,2.67
1968.5,3.02
1968.8,1.76
1969.7,2.03
1969.8,3.47
1969.9,4.65
1970.1,6.24
1971,2.91
1971,5.21
1971.5,3.18
1971.6,2.01
1971.6,6.71
1972.9,4.28
1972.9,7.03
1973.1,3.97
1973.3,3.48
1973.9,5.79
1973.97,5.84
1974,6.54
1974.6,6.67
1974.7,2.39
1975,3.98
1975.4,6.62
1975.66,6.53
1975.7,3.52
1976.1,6.38
1977.2,6.58
1977.5,6.53
1977.7,4.38
1978.1,2.56
1978.12,5.81
1979,2.72
1979.8,4.08
1979.8,6.88
1980.5,3
1980.6,6.85
1980.97,6.16
1981.5,3.01
1982,4.39
1982.1,6.94
1982.54,5.44
1982.7,3.62
1982.98,5.72
1983.28,6.43
1983.6,5.2
1983.88,6.22
1984.7,5.88
1985,3.96
1985.3,6.08
1986.2,4.45
1986.6,6.62
1987,4.35
1988.1,6.91
1989.1,4.11
1989.6,4.03
1990.8,7.38
1991,3.34
1991.9,4.15
1992.3,3.37
1992.4,7.21
1993,4.35
1994.8,6.65
1995,7.38
1995.6,5.23
1997,7.12
1997.8,6.32
1999.5,4.68
1999.8,3.76
2000.2,7.24
2001,7.05
2002.1,7.11
2003.1,7.2
2003.4,4.42
2003.5,7.34
2004.7,4.3
2005.8,5.06
2005.8,7.14
2006,6.87
2006.39,6.89
2007.14,6.91
2008,7.03
2010.28,5.4
2010.6,7.23
2011.6,5.19
2012,6.5
2016.6,7.2
2018.6,6.71
2020.6,7.18
2020.67,6.47
2022.02,7.11
2022.8,7.19
2025.6,7.15
2029.1,7.1
2037.3,2.3
2043.7,4.11
2045.6,4.61
2046.17,2.26
2047.4,4.76
2048.79,3.8
2048.8,2.6
2050.2,0.93
2050.8,1.05
2051.7,3.68
2052,2.88
2052.5,3.43
2054.5,5.71
2055.74,2.52
2058.5,4.06
2058.6,7.41
2059.18,3.42
2059.4,2.76
2061.5,3.39
2062,2.84
2062.92,4.59
2063.5,3.77
2063.9,1.6
2066.4,2.18
2066.58,3.69
2066.6,1.67
2068,2.2
2068.1,2.33
2069.2,4
2069.3,1.35
2070,0.45
2070,0.49
2071.8,0.37
2071.9,2.02
2072.04,3.69
2073.6,0.41
2073.7,0.56
2074.66,4.12
2076.2,1.67
2078,3.49
2078.1,1.68
2078.1,1.86
2079.1,0.96
2079.1,2.4
2079.5,0.49
2080.4,2.78
2080.4,3.14
2080.8,0.38
2080.9,5.62
2083.8,2.3
2084.2,3.03
2084.8,4.17
2085.1,3.54
2085.3,5.95
2086,4.54
2086.1,-1.01
2086.4,4.73
2086.6,5.21
2086.8,4.35
2087,4.72
2087.2,2.33
2089.32,-2.84
2091.4,5.21
2092.1,4.5
2092.23,-3.19
2092.98,-3.29
2094.25,-4.04
2095,4.69
2095.45,-3.99
2096.64,-3.98
2097.1,1.2
2097.5,-2.22
2101.6,2.84
2104,-0.27
2105.1,1.01
2106.07,-4.79
2107.1,-0.12
2108.76,-3.09
2109.5,0.08
2112,-1.63
2112.1,-0.28
2113.4,-0.87
2114.7,-2.65
2115.1,-2.45
2118.52,-1.37
2120.8,-3.78
2123.8,-2.6
2124,-4.37
2124,-3.68
2125.3,-4.03
2126,-4.9
2126.9,-4.43
2128.7,-5.42
2129,-4.84
2129.3,-5.02
2130,-5.72
2130.4,-6.01
2132.1,-5.57
2133.4,-6.24
2133.7,-3
2134.6,-5.1
2135,-5.4
2135.4,-4.79
2135.9,-5.83
2135.9,-2.92
2137.2,-6.48
2137.4,-5.16
2137.4,-4.92
2137.6,-5.44
2137.7,-6.11
2138,-4.92
2138.3,-5.82
2138.5,-4.98
2138.5,-3.52
2138.7,-5.89
2139.2,-3.54
2139.4,-4.65
2139.5,-5.24
