"","height","age_median","age_min","age_max","plus","minus"
"128",635,805.14,801.58,808.24,3.1,3.56
"129",640,805.03,801.47,808.13,3.1,3.56
"130",645,804.92,801.37,808.02,3.1,3.55
"131",650,804.82,801.27,807.92,3.1,3.55
"132",655,804.71,801.16,807.81,3.1,3.55
"133",660,804.6,801.06,807.69,3.09,3.55
"134",665,804.49,800.93,807.56,3.07,3.56
"135",670,804.38,800.83,807.46,3.08,3.55
"136",675,804.27,800.73,807.35,3.08,3.54
"137",680,804.17,800.63,807.24,3.07,3.54
"138",685,804.06,800.52,807.13,3.07,3.54
"139",690,803.95,800.66,807.26,3.32,3.28
"140",695,803.84,800.56,807.15,3.31,3.28
"141",700,803.73,800.45,807.04,3.31,3.28
"142",705,803.61,800.34,806.92,3.31,3.27
"143",710,803.5,800.23,806.81,3.31,3.27
"144",715,803.39,800.12,806.7,3.31,3.27
"145",720,803.28,800.01,806.59,3.31,3.27
"146",725,803.17,799.91,806.48,3.31,3.26
"147",730,803.06,799.8,806.37,3.31,3.26
"148",735,802.94,799.69,806.25,3.31,3.25
"149",740,802.83,799.58,806.14,3.31,3.25
"150",745,802.72,799.47,806.03,3.31,3.25
"151",750,802.6,799.36,805.91,3.31,3.24
"152",755,802.49,799.25,805.79,3.31,3.24
"153",760,802.37,799.14,805.68,3.31,3.24
"154",765,802.26,799.02,805.56,3.3,3.24
"155",770,802.14,798.91,805.44,3.3,3.23
"156",775,802.03,798.74,805.27,3.24,3.29
"157",780,801.91,798.63,805.16,3.24,3.28
"158",785,801.8,798.52,805.04,3.24,3.27
"159",790,801.68,798.41,804.92,3.24,3.27
"160",795,801.56,798.29,804.8,3.23,3.28
"161",800,801.45,798.17,804.67,3.23,3.27
"162",805,801.33,798.06,804.55,3.22,3.27
"163",810,801.21,797.95,804.43,3.22,3.27
"164",815,801.09,797.83,804.31,3.21,3.26
"165",820,800.97,797.71,804.19,3.21,3.26
"166",825,800.86,797.59,804.07,3.21,3.26
"167",830,800.74,797.42,803.89,3.16,3.31
"168",835,800.62,797.31,803.77,3.16,3.31
"169",840,800.5,797.19,803.65,3.16,3.31
"170",845,800.38,797.08,803.54,3.16,3.3
"171",850,800.25,796.96,803.41,3.16,3.29
"172",855,800.13,796.84,803.29,3.16,3.29
"173",860,800.01,796.76,803.21,3.2,3.25
"174",865,799.89,796.56,803,3.12,3.32
"175",870,799.76,796.45,802.88,3.11,3.32
"176",875,799.64,796.33,802.75,3.11,3.31
"177",880,799.52,796.21,802.63,3.11,3.3
"178",885,799.39,796.09,802.5,3.11,3.3
"179",890,799.27,795.97,802.37,3.1,3.3
"180",895,799.15,795.85,802.25,3.1,3.3
"181",900,799.02,795.73,802.12,3.1,3.3
"182",905,798.9,795.6,801.99,3.09,3.3
"183",910,798.77,795.48,801.86,3.09,3.3
"184",915,798.65,795.36,801.73,3.09,3.29
"185",920,798.52,795.1,801.47,2.95,3.42
"186",925,798.39,795.12,801.48,3.09,3.28
"187",930,798.27,794.81,801.17,2.91,3.45
"188",935,798.14,794.69,801.04,2.9,3.45
"189",940,798.01,794.57,800.91,2.9,3.44
"190",945,797.88,794.44,800.78,2.9,3.44
"191",950,797.75,794.32,800.65,2.89,3.44
"192",955,797.62,794.19,800.51,2.89,3.44
"193",960,797.49,794.05,800.37,2.88,3.44
"194",965,797.36,793.93,800.24,2.88,3.43
"195",970,797.23,793.8,800.11,2.88,3.43
"196",975,797.1,793.67,799.97,2.87,3.43
"197",980,796.97,793.53,799.83,2.86,3.43
"198",985,796.83,793.41,799.7,2.87,3.43
"199",990,796.7,793.29,799.57,2.87,3.42
"200",995,796.57,793.16,799.44,2.87,3.41
"201",1000,796.44,793,799.28,2.84,3.44
"202",1005,796.3,793.11,799.38,3.08,3.19
"203",1010,796.17,792.98,799.24,3.08,3.19
"204",1015,796.03,792.84,799.1,3.07,3.19
"205",1020,795.9,792.71,798.97,3.07,3.19
"206",1025,795.76,792.43,798.69,2.92,3.33
"207",1030,795.62,792.3,798.54,2.92,3.32
"208",1035,795.49,792.33,798.57,3.08,3.16
"209",1040,795.35,791.93,798.17,2.82,3.41
"210",1045,795.21,792.05,798.28,3.07,3.16
"211",1050,795.07,791.67,797.89,2.82,3.4
"212",1055,794.93,791.77,797.98,3.05,3.16
"213",1060,794.79,791.63,797.84,3.05,3.16
"214",1065,794.65,791.49,797.69,3.04,3.16
"215",1070,794.51,791.35,797.55,3.04,3.16
"216",1075,794.37,791.22,797.41,3.04,3.15
"217",1080,794.23,791.08,797.27,3.04,3.15
"218",1085,794.08,790.94,797.12,3.04,3.14
"219",1090,793.94,790.81,796.98,3.04,3.14
"220",1095,793.8,790.66,796.83,3.03,3.14
